FlightNumber,DepartureTime,ArrivalTime,ScheduledDepartureTime,ScheduledArrivalTime,DelayStatus,DepartureAirport,ArrivalAirport
8270,2024-01-01 06:00:00,2024-01-01 08:00:00,2024-01-01 05:50:00,2024-01-01 07:50:00,Delayed,DFW,ATL
1860,2024-01-01 06:10:00,2024-01-01 08:10:00,2024-01-01 06:00:00,2024-01-01 08:00:00,Delayed,DFW,LAX
6390,2024-01-01 06:20:00,2024-01-01 08:20:00,2024-01-01 06:10:00,2024-01-01 08:10:00,On-Time,ATL,JFK
6191,2024-01-01 06:30:00,2024-01-01 08:30:00,2024-01-01 06:20:00,2024-01-01 08:20:00,On-Time,ORD,JFK
6734,2024-01-01 06:40:00,2024-01-01 08:40:00,2024-01-01 06:30:00,2024-01-01 08:30:00,On-Time,LAX,ORD
7265,2024-01-01 06:50:00,2024-01-01 08:50:00,2024-01-01 06:40:00,2024-01-01 08:40:00,On-Time,ORD,JFK
1466,2024-01-01 07:00:00,2024-01-01 09:00:00,2024-01-01 06:50:00,2024-01-01 08:50:00,On-Time,ATL,ATL
5426,2024-01-01 07:10:00,2024-01-01 09:10:00,2024-01-01 07:00:00,2024-01-01 09:00:00,On-Time,DFW,DFW
6578,2024-01-01 07:20:00,2024-01-01 09:20:00,2024-01-01 07:10:00,2024-01-01 09:10:00,Delayed,ORD,DFW
9322,2024-01-01 07:30:00,2024-01-01 09:30:00,2024-01-01 07:20:00,2024-01-01 09:20:00,On-Time,DFW,DFW
2685,2024-01-01 07:40:00,2024-01-01 09:40:00,2024-01-01 07:30:00,2024-01-01 09:30:00,On-Time,DFW,LAX
1769,2024-01-01 07:50:00,2024-01-01 09:50:00,2024-01-01 07:40:00,2024-01-01 09:40:00,On-Time,JFK,JFK
7949,2024-01-01 08:00:00,2024-01-01 10:00:00,2024-01-01 07:50:00,2024-01-01 09:50:00,On-Time,ORD,ATL
3433,2024-01-01 08:10:00,2024-01-01 10:10:00,2024-01-01 08:00:00,2024-01-01 10:00:00,On-Time,ORD,LAX
6311,2024-01-01 08:20:00,2024-01-01 10:20:00,2024-01-01 08:10:00,2024-01-01 10:10:00,On-Time,DFW,ORD
6051,2024-01-01 08:30:00,2024-01-01 10:30:00,2024-01-01 08:20:00,2024-01-01 10:20:00,On-Time,ATL,ATL
7420,2024-01-01 08:40:00,2024-01-01 10:40:00,2024-01-01 08:30:00,2024-01-01 10:30:00,Delayed,JFK,ATL
2184,2024-01-01 08:50:00,2024-01-01 10:50:00,2024-01-01 08:40:00,2024-01-01 10:40:00,On-Time,DFW,ATL
5555,2024-01-01 09:00:00,2024-01-01 11:00:00,2024-01-01 08:50:00,2024-01-01 10:50:00,On-Time,LAX,DFW
4385,2024-01-01 09:10:00,2024-01-01 11:10:00,2024-01-01 09:00:00,2024-01-01 11:00:00,On-Time,LAX,ATL
7396,2024-01-01 09:20:00,2024-01-01 11:20:00,2024-01-01 09:10:00,2024-01-01 11:10:00,On-Time,JFK,JFK
9666,2024-01-01 09:30:00,2024-01-01 11:30:00,2024-01-01 09:20:00,2024-01-01 11:20:00,On-Time,ATL,ATL
3558,2024-01-01 09:40:00,2024-01-01 11:40:00,2024-01-01 09:30:00,2024-01-01 11:30:00,Delayed,DFW,DFW
8849,2024-01-01 09:50:00,2024-01-01 11:50:00,2024-01-01 09:40:00,2024-01-01 11:40:00,Delayed,ORD,ATL
3047,2024-01-01 10:00:00,2024-01-01 12:00:00,2024-01-01 09:50:00,2024-01-01 11:50:00,Delayed,JFK,ORD
3747,2024-01-01 10:10:00,2024-01-01 12:10:00,2024-01-01 10:00:00,2024-01-01 12:00:00,On-Time,ATL,ORD
1189,2024-01-01 10:20:00,2024-01-01 12:20:00,2024-01-01 10:10:00,2024-01-01 12:10:00,On-Time,ORD,DFW
3734,2024-01-01 10:30:00,2024-01-01 12:30:00,2024-01-01 10:20:00,2024-01-01 12:20:00,On-Time,LAX,JFK
4005,2024-01-01 10:40:00,2024-01-01 12:40:00,2024-01-01 10:30:00,2024-01-01 12:30:00,On-Time,LAX,JFK
5658,2024-01-01 10:50:00,2024-01-01 12:50:00,2024-01-01 10:40:00,2024-01-01 12:40:00,Delayed,ORD,LAX
2899,2024-01-01 11:00:00,2024-01-01 13:00:00,2024-01-01 10:50:00,2024-01-01 12:50:00,On-Time,JFK,DFW
8734,2024-01-01 11:10:00,2024-01-01 13:10:00,2024-01-01 11:00:00,2024-01-01 13:00:00,On-Time,LAX,ATL
2267,2024-01-01 11:20:00,2024-01-01 13:20:00,2024-01-01 11:10:00,2024-01-01 13:10:00,On-Time,DFW,DFW
2528,2024-01-01 11:30:00,2024-01-01 13:30:00,2024-01-01 11:20:00,2024-01-01 13:20:00,On-Time,ORD,LAX
4556,2024-01-01 11:40:00,2024-01-01 13:40:00,2024-01-01 11:30:00,2024-01-01 13:30:00,On-Time,ORD,DFW
4890,2024-01-01 11:50:00,2024-01-01 13:50:00,2024-01-01 11:40:00,2024-01-01 13:40:00,On-Time,LAX,DFW
9838,2024-01-01 12:00:00,2024-01-01 14:00:00,2024-01-01 11:50:00,2024-01-01 13:50:00,On-Time,JFK,LAX
6393,2024-01-01 12:10:00,2024-01-01 14:10:00,2024-01-01 12:00:00,2024-01-01 14:00:00,Delayed,DFW,JFK
9792,2024-01-01 12:20:00,2024-01-01 14:20:00,2024-01-01 12:10:00,2024-01-01 14:10:00,Delayed,JFK,ATL
9433,2024-01-01 12:30:00,2024-01-01 14:30:00,2024-01-01 12:20:00,2024-01-01 14:20:00,On-Time,ATL,LAX
8513,2024-01-01 12:40:00,2024-01-01 14:40:00,2024-01-01 12:30:00,2024-01-01 14:30:00,On-Time,ATL,ORD
3612,2024-01-01 12:50:00,2024-01-01 14:50:00,2024-01-01 12:40:00,2024-01-01 14:40:00,On-Time,LAX,JFK
8041,2024-01-01 13:00:00,2024-01-01 15:00:00,2024-01-01 12:50:00,2024-01-01 14:50:00,On-Time,LAX,ORD
7235,2024-01-01 13:10:00,2024-01-01 15:10:00,2024-01-01 13:00:00,2024-01-01 15:00:00,On-Time,LAX,JFK
6486,2024-01-01 13:20:00,2024-01-01 15:20:00,2024-01-01 13:10:00,2024-01-01 15:10:00,On-Time,ATL,ATL
8099,2024-01-01 13:30:00,2024-01-01 15:30:00,2024-01-01 13:20:00,2024-01-01 15:20:00,On-Time,JFK,ATL
1775,2024-01-01 13:40:00,2024-01-01 15:40:00,2024-01-01 13:30:00,2024-01-01 15:30:00,On-Time,JFK,DFW
9226,2024-01-01 13:50:00,2024-01-01 15:50:00,2024-01-01 13:40:00,2024-01-01 15:40:00,On-Time,LAX,ORD
4152,2024-01-01 14:00:00,2024-01-01 16:00:00,2024-01-01 13:50:00,2024-01-01 15:50:00,On-Time,DFW,JFK
2585,2024-01-01 14:10:00,2024-01-01 16:10:00,2024-01-01 14:00:00,2024-01-01 16:00:00,Delayed,JFK,ATL
4943,2024-01-01 14:20:00,2024-01-01 16:20:00,2024-01-01 14:10:00,2024-01-01 16:10:00,Delayed,ATL,LAX
8555,2024-01-01 14:30:00,2024-01-01 16:30:00,2024-01-01 14:20:00,2024-01-01 16:20:00,On-Time,ORD,ATL
4073,2024-01-01 14:40:00,2024-01-01 16:40:00,2024-01-01 14:30:00,2024-01-01 16:30:00,Delayed,ORD,LAX
2021,2024-01-01 14:50:00,2024-01-01 16:50:00,2024-01-01 14:40:00,2024-01-01 16:40:00,On-Time,ORD,JFK
4843,2024-01-01 15:00:00,2024-01-01 17:00:00,2024-01-01 14:50:00,2024-01-01 16:50:00,Delayed,DFW,ATL
8989,2024-01-01 15:10:00,2024-01-01 17:10:00,2024-01-01 15:00:00,2024-01-01 17:00:00,Delayed,LAX,ATL
7873,2024-01-01 15:20:00,2024-01-01 17:20:00,2024-01-01 15:10:00,2024-01-01 17:10:00,On-Time,ATL,JFK
6675,2024-01-01 15:30:00,2024-01-01 17:30:00,2024-01-01 15:20:00,2024-01-01 17:20:00,On-Time,DFW,ATL
1161,2024-01-01 15:40:00,2024-01-01 17:40:00,2024-01-01 15:30:00,2024-01-01 17:30:00,On-Time,ATL,LAX
5297,2024-01-01 15:50:00,2024-01-01 17:50:00,2024-01-01 15:40:00,2024-01-01 17:40:00,On-Time,ATL,ATL
1995,2024-01-01 16:00:00,2024-01-01 18:00:00,2024-01-01 15:50:00,2024-01-01 17:50:00,On-Time,LAX,ORD
8629,2024-01-01 16:10:00,2024-01-01 18:10:00,2024-01-01 16:00:00,2024-01-01 18:00:00,On-Time,ORD,DFW
2016,2024-01-01 16:20:00,2024-01-01 18:20:00,2024-01-01 16:10:00,2024-01-01 18:10:00,On-Time,LAX,LAX
8869,2024-01-01 16:30:00,2024-01-01 18:30:00,2024-01-01 16:20:00,2024-01-01 18:20:00,Delayed,DFW,ORD
7439,2024-01-01 16:40:00,2024-01-01 18:40:00,2024-01-01 16:30:00,2024-01-01 18:30:00,Delayed,DFW,JFK
8892,2024-01-01 16:50:00,2024-01-01 18:50:00,2024-01-01 16:40:00,2024-01-01 18:40:00,On-Time,DFW,LAX
