FlightNumber,DepartureTime,ArrivalTime,ScheduledDepartureTime,ScheduledArrivalTime,DelayStatus,DepartureAirport,ArrivalAirport,Temperature,WindSpeed,Precipitation,Visibility,WeatherCondition,DelayInMinutes,IsDelayed
8270,2024-01-01 06:00:00,2024-01-01 08:00:00,2024-01-01 05:50:00,2024-01-01 07:50:00,Delayed,DFW,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,1
1860,2024-01-01 06:10:00,2024-01-01 08:10:00,2024-01-01 06:00:00,2024-01-01 08:00:00,Delayed,DFW,LAX,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,1
6390,2024-01-01 06:20:00,2024-01-01 08:20:00,2024-01-01 06:10:00,2024-01-01 08:10:00,On-Time,ATL,JFK,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
6191,2024-01-01 06:30:00,2024-01-01 08:30:00,2024-01-01 06:20:00,2024-01-01 08:20:00,On-Time,ORD,JFK,22.49297288917034,13.934715796426287,14.470691466621773,1.353627506356232,Fog,10.0,0
6734,2024-01-01 06:40:00,2024-01-01 08:40:00,2024-01-01 06:30:00,2024-01-01 08:30:00,On-Time,LAX,ORD,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
7265,2024-01-01 06:50:00,2024-01-01 08:50:00,2024-01-01 06:40:00,2024-01-01 08:40:00,On-Time,ORD,JFK,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
1466,2024-01-01 07:00:00,2024-01-01 09:00:00,2024-01-01 06:50:00,2024-01-01 08:50:00,On-Time,ATL,ATL,13.23274846389533,28.99147880238625,0.5859888620683673,9.540245963698435,Clear,10.0,0
5426,2024-01-01 07:10:00,2024-01-01 09:10:00,2024-01-01 07:00:00,2024-01-01 09:00:00,On-Time,DFW,DFW,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
6578,2024-01-01 07:20:00,2024-01-01 09:20:00,2024-01-01 07:10:00,2024-01-01 09:10:00,Delayed,ORD,DFW,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,1
9322,2024-01-01 07:30:00,2024-01-01 09:30:00,2024-01-01 07:20:00,2024-01-01 09:20:00,On-Time,DFW,DFW,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
2685,2024-01-01 07:40:00,2024-01-01 09:40:00,2024-01-01 07:30:00,2024-01-01 09:30:00,On-Time,DFW,LAX,11.657507804865666,49.93964679078272,7.188476536616342,7.325797996450913,Clear,10.0,0
1769,2024-01-01 07:50:00,2024-01-01 09:50:00,2024-01-01 07:40:00,2024-01-01 09:40:00,On-Time,JFK,JFK,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
7949,2024-01-01 08:00:00,2024-01-01 10:00:00,2024-01-01 07:50:00,2024-01-01 09:50:00,On-Time,ORD,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
3433,2024-01-01 08:10:00,2024-01-01 10:10:00,2024-01-01 08:00:00,2024-01-01 10:00:00,On-Time,ORD,LAX,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
6311,2024-01-01 08:20:00,2024-01-01 10:20:00,2024-01-01 08:10:00,2024-01-01 10:10:00,On-Time,DFW,ORD,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
6051,2024-01-01 08:30:00,2024-01-01 10:30:00,2024-01-01 08:20:00,2024-01-01 10:20:00,On-Time,ATL,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
7420,2024-01-01 08:40:00,2024-01-01 10:40:00,2024-01-01 08:30:00,2024-01-01 10:30:00,Delayed,JFK,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,1
2184,2024-01-01 08:50:00,2024-01-01 10:50:00,2024-01-01 08:40:00,2024-01-01 10:40:00,On-Time,DFW,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
5555,2024-01-01 09:00:00,2024-01-01 11:00:00,2024-01-01 08:50:00,2024-01-01 10:50:00,On-Time,LAX,DFW,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
4385,2024-01-01 09:10:00,2024-01-01 11:10:00,2024-01-01 09:00:00,2024-01-01 11:00:00,On-Time,LAX,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
7396,2024-01-01 09:20:00,2024-01-01 11:20:00,2024-01-01 09:10:00,2024-01-01 11:10:00,On-Time,JFK,JFK,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
9666,2024-01-01 09:30:00,2024-01-01 11:30:00,2024-01-01 09:20:00,2024-01-01 11:20:00,On-Time,ATL,ATL,7.142833026056376,48.3279219690272,4.862490608453374,4.170779957882605,Snow,10.0,0
3558,2024-01-01 09:40:00,2024-01-01 11:40:00,2024-01-01 09:30:00,2024-01-01 11:30:00,Delayed,DFW,DFW,-7.544556627278547,47.235369083624086,14.895014632598444,3.106519975157492,Clear,10.0,1
8849,2024-01-01 09:50:00,2024-01-01 11:50:00,2024-01-01 09:40:00,2024-01-01 11:40:00,Delayed,ORD,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,1
3047,2024-01-01 10:00:00,2024-01-01 12:00:00,2024-01-01 09:50:00,2024-01-01 11:50:00,Delayed,JFK,ORD,30.60814742498036,28.54269681393808,3.7986948732204007,3.4165006857774585,Clear,10.0,1
3747,2024-01-01 10:10:00,2024-01-01 12:10:00,2024-01-01 10:00:00,2024-01-01 12:00:00,On-Time,ATL,ORD,7.244691467626325,45.479769555547215,9.21424342696551,6.888122019507861,Clear,10.0,0
1189,2024-01-01 10:20:00,2024-01-01 12:20:00,2024-01-01 10:10:00,2024-01-01 12:10:00,On-Time,ORD,DFW,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
3734,2024-01-01 10:30:00,2024-01-01 12:30:00,2024-01-01 10:20:00,2024-01-01 12:20:00,On-Time,LAX,JFK,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
4005,2024-01-01 10:40:00,2024-01-01 12:40:00,2024-01-01 10:30:00,2024-01-01 12:30:00,On-Time,LAX,JFK,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
5658,2024-01-01 10:50:00,2024-01-01 12:50:00,2024-01-01 10:40:00,2024-01-01 12:40:00,Delayed,ORD,LAX,26.921941301612364,4.566286716677853,13.01943490437089,7.244770080955551,Clear,10.0,1
2899,2024-01-01 11:00:00,2024-01-01 13:00:00,2024-01-01 10:50:00,2024-01-01 12:50:00,On-Time,JFK,DFW,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
8734,2024-01-01 11:10:00,2024-01-01 13:10:00,2024-01-01 11:00:00,2024-01-01 13:00:00,On-Time,LAX,ATL,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
2267,2024-01-01 11:20:00,2024-01-01 13:20:00,2024-01-01 11:10:00,2024-01-01 13:10:00,On-Time,DFW,DFW,13.016369370240671,24.960287168468412,0.0,5.50466287432399,Unknown,10.0,0
2528,2024-01-01 11:30:00,2024-01-01 13:30:00,2024-01-01 11:20:00,2024-01-01 13:20:00,On-Time,ORD,LAX,25.99025140006025,0.7098317235861851,5.473327698429154,5.094556991577997,Fog,10.0,0
