Airport,Time,Temperature,WindSpeed,Precipitation,Visibility,WeatherCondition
DFW,2024-01-01 00:00:00,5.213798421481762,16.636473825518955,7.291328550397289,1.8510071029694941,Clear
ORD,2024-01-01 00:10:00,-4.292918985231154,46.99621864428544,16.873610593299553,7.82546294430926,Clear
DFW,2024-01-01 00:20:00,7.628410275302517,17.15133562950122,3.8988553794031966,6.454124487424732,Clear
ORD,2024-01-01 00:30:00,-2.680263320253169,49.40620379773177,16.53735694346724,6.132812570438535,Clear
DFW,2024-01-01 00:40:00,23.046455442149828,24.261522788267808,11.253108458054848,1.4821890364666714,Thunderstorm
ATL,2024-01-01 00:50:00,-0.6026079027434506,8.958195914507543,15.243750223881642,2.264491088159656,Fog
LAX,2024-01-01 01:00:00,-7.364561262195977,44.55700458967547,14.272147325269431,6.602944565918024,Clear
ATL,2024-01-01 01:10:00,14.856476201775543,23.017768656741346,4.150229907697581,2.8704145731295223,Rain
JFK,2024-01-01 01:20:00,16.78533797237307,35.48356717522622,11.376254728677457,5.536630717735819,Fog
LAX,2024-01-01 01:30:00,29.236087757622748,49.185579160457586,17.35446305610185,5.903935174264541,Clear
ATL,2024-01-01 01:40:00,15.964172558795685,2.5087675159987,8.642324736038587,3.551564712438455,Clear
JFK,2024-01-01 01:50:00,5.546638417555057,4.834727989378357,19.331815404466333,9.535826399873436,Clear
ORD,2024-01-01 02:00:00,26.13553466868442,36.02283707313781,9.04430200203436,8.582176961520176,Rain
ORD,2024-01-01 02:10:00,14.312550193433946,14.0912501647736,2.8557127333576937,7.501361568695186,Thunderstorm
DFW,2024-01-01 02:20:00,-6.432387191596371,9.215069847504953,7.788693601553465,1.7019447976846818,Rain
LAX,2024-01-01 02:30:00,15.4632752140961,1.9680939909864748,19.034048127810742,1.955170173781175,Clear
ORD,2024-01-01 02:40:00,30.86083454397481,1.0923355993100903,6.394416986797085,5.435032112784601,Clear
LAX,2024-01-01 02:50:00,7.834068147419924,38.72428015598955,17.361963197341257,2.446420142718871,Snow
ORD,2024-01-01 03:00:00,3.3346610854910033,6.7216713684775,17.625013633637796,9.804389171765267,Fog
DFW,2024-01-01 03:10:00,-3.5438744341890978,23.386030798557545,7.003730486639221,2.426682106246685,Rain
ATL,2024-01-01 03:20:00,-3.1849515129089205,30.29484075897415,1.6651531610126424,5.387210519175766,Rain
DFW,2024-01-01 03:30:00,9.474716795381852,21.417590028442312,14.491158183176365,4.277089511573549,Clear
JFK,2024-01-01 03:40:00,16.805592087268828,1.3553326168116553,6.2302459802797205,6.754477793086882,Fog
ORD,2024-01-01 03:50:00,-6.372306767367921,39.175075129395445,15.658472285151447,2.161327680004824,Snow
JFK,2024-01-01 04:00:00,32.28058650613246,0.5256612270826744,8.853096965208662,4.872847852381518,Clear
JFK,2024-01-01 04:10:00,23.98101278503382,38.0944947188742,9.70533484685243,3.472345295264293,Snow
LAX,2024-01-01 04:20:00,16.39807632276482,44.66522468940614,15.558188134970736,8.989763722045193,Clear
ORD,2024-01-01 04:30:00,27.279740192254586,21.641996052858616,7.647266621232558,1.3652714092122558,Clear
JFK,2024-01-01 04:40:00,-6.391595943454902,26.777123654889913,8.862546906458292,9.223547446058133,Clear
